HD,_tab2_2,RVel,e_RVel,Inst,SHK,e_SHK,EWHa,e_EWHa,File
HD160691,2453161.80011,2.77,0.96,HARPS-Pre,0.1444,0.0033,,,2004-06-05T07:03:01
HD160691,2453161.80164,5.13,0.96,HARPS-Pre,0.1506,0.0035,,,2004-06-05T07:05:12
HD160691,2453161.80312,7.65,0.98,HARPS-Pre,0.1479,0.004,,,2004-06-05T07:07:23
HD160691,2453161.80468,5.37,0.96,HARPS-Pre,0.1401,0.0036,,,2004-06-05T07:09:34
HD160691,2453161.80616,3.77,0.98,HARPS-Pre,0.1158,0.0045,,,2004-06-05T07:11:45
HD160691,2453161.80772,7.03,0.97,HARPS-Pre,0.1331,0.0039,,,2004-06-05T07:13:56
HD160691,2453161.80927,6.04,0.95,HARPS-Pre,0.1490,0.0032,,,2004-06-05T07:16:07
HD160691,2453161.81074,5.01,0.96,HARPS-Pre,0.1419,0.0034,,,2004-06-05T07:18:18
HD160691,2453161.81228,4.75,0.97,HARPS-Pre,0.1351,0.004,,,2004-06-05T07:20:29
HD160691,2453161.81376,6.94,0.97,HARPS-Pre,0.1499,0.0032,,,2004-06-05T07:22:41
HD160691,2453161.81522,2.71,0.97,HARPS-Pre,0.1447,0.0038,,,2004-06-05T07:24:51
HD160691,2453161.81680,4.55,0.97,HARPS-Pre,0.1532,0.0036,,,2004-06-05T07:27:02
HD160691,2453161.81836,6.75,0.97,HARPS-Pre,0.1276,0.0038,,,2004-06-05T07:29:13
HD160691,2453161.81986,6.94,0.98,HARPS-Pre,0.1355,0.0037,,,2004-06-05T07:31:24
HD160691,2453161.82138,4.34,0.97,HARPS-Pre,0.1469,0.0036,,,2004-06-05T07:33:34
HD160691,2453161.82284,3.58,0.97,HARPS-Pre,0.1520,0.0035,,,2004-06-05T07:35:45
HD160691,2453161.82436,4.64,0.96,HARPS-Pre,0.1362,0.0044,,,2004-06-05T07:37:56
HD160691,2453161.82586,2.87,0.96,HARPS-Pre,0.1537,0.0035,,,2004-06-05T07:40:07
HD160691,2453161.82741,4.40,0.96,HARPS-Pre,0.1311,0.0041,,,2004-06-05T07:42:18
HD160691,2453161.82891,5.27,0.97,HARPS-Pre,0.1381,0.0033,,,2004-06-05T07:44:29
HD160691,2453161.83043,5.85,0.97,HARPS-Pre,0.1433,0.0033,,,2004-06-05T07:46:40
HD160691,2453161.83196,5.55,0.97,HARPS-Pre,0.1551,0.0034,,,2004-06-05T07:48:51
HD160691,2453161.83350,2.93,0.97,HARPS-Pre,0.1449,0.0039,,,2004-06-05T07:51:02
HD160691,2453161.83503,4.06,0.98,HARPS-Pre,0.1390,0.0038,,,2004-06-05T07:53:14
HD160691,2453161.83658,6.71,0.97,HARPS-Pre,0.1567,0.0036,,,2004-06-05T07:55:26
HD160691,2453161.83805,5.37,0.97,HARPS-Pre,0.1317,0.0043,,,2004-06-05T07:57:37
HD160691,2453161.83955,3.79,1.00,HARPS-Pre,0.1267,0.0052,,,2004-06-05T07:59:48
HD160691,2453161.84110,4.59,0.97,HARPS-Pre,0.1476,0.0035,,,2004-06-05T08:02:00
HD160691,2453161.84261,6.24,0.99,HARPS-Pre,0.1417,0.0047,,,2004-06-05T08:04:11
HD160691,2453161.84414,5.11,0.99,HARPS-Pre,0.1269,0.0048,,,2004-06-05T08:06:22
HD160691,2453161.84568,5.30,0.98,HARPS-Pre,0.1311,0.0042,,,2004-06-05T08:08:33
HD160691,2453161.84717,7.10,0.96,HARPS-Pre,0.1377,0.004,,,2004-06-05T08:10:44
HD160691,2453161.84866,6.79,0.97,HARPS-Pre,0.1343,0.0042,,,2004-06-05T08:12:55
HD160691,2453161.85019,5.02,0.99,HARPS-Pre,0.1369,0.0042,,,2004-06-05T08:15:07
HD160691,2453161.85171,5.64,0.98,HARPS-Pre,0.1239,0.0043,,,2004-06-05T08:17:18
HD160691,2453161.85325,9.43,0.97,HARPS-Pre,0.1492,0.0035,,,2004-06-05T08:19:29
HD160691,2453161.85475,7.07,0.97,HARPS-Pre,0.1331,0.0035,,,2004-06-05T08:21:40
HD160691,2453161.85629,7.12,0.99,HARPS-Pre,0.1227,0.0053,,,2004-06-05T08:23:51
HD160691,2453161.85777,4.57,0.97,HARPS-Pre,0.1361,0.0038,,,2004-06-05T08:26:01
HD160691,2453161.85928,9.08,0.98,HARPS-Pre,0.1426,0.0045,,,2004-06-05T08:28:12
HD160691,2453161.86083,7.17,0.96,HARPS-Pre,0.1364,0.004,,,2004-06-05T08:30:23
HD160691,2453161.86231,3.81,0.96,HARPS-Pre,0.1407,0.0034,,,2004-06-05T08:32:34
HD160691,2453161.86382,6.58,0.96,HARPS-Pre,0.1354,0.0036,,,2004-06-05T08:34:46
HD160691,2453161.86534,8.05,0.96,HARPS-Pre,0.1418,0.0035,,,2004-06-05T08:36:57
HD160691,2453161.86689,7.06,0.96,HARPS-Pre,0.1380,0.0035,,,2004-06-05T08:39:08
HD160691,2453161.86840,3.88,0.96,HARPS-Pre,0.1386,0.0034,,,2004-06-05T08:41:19
HD160691,2453161.86990,6.85,0.97,HARPS-Pre,0.1397,0.0038,,,2004-06-05T08:43:30
HD160691,2453161.87144,5.67,0.97,HARPS-Pre,0.1295,0.0045,,,2004-06-05T08:45:41
HD160691,2453161.87293,7.22,0.97,HARPS-Pre,0.1360,0.004,,,2004-06-05T08:47:52
HD160691,2453161.87446,5.50,0.97,HARPS-Pre,0.1302,0.0042,,,2004-06-05T08:50:03
HD160691,2453161.87594,4.41,0.99,HARPS-Pre,0.1425,0.004,,,2004-06-05T08:52:14
HD160691,2453161.87748,4.59,0.99,HARPS-Pre,0.1183,0.0043,,,2004-06-05T08:54:25
HD160691,2453161.87906,10.40,1.00,HARPS-Pre,0.1307,0.0044,,,2004-06-05T08:56:36
HD160691,2453161.88053,8.30,0.99,HARPS-Pre,0.1379,0.0037,,,2004-06-05T08:58:47
HD160691,2453161.88204,4.15,0.99,HARPS-Pre,0.1319,0.0043,,,2004-06-05T09:00:58
HD160691,2453161.88359,8.95,1.04,HARPS-Pre,0.1524,0.0042,,,2004-06-05T09:03:09
HD160691,2453161.88510,5.71,1.03,HARPS-Pre,0.1386,0.0052,,,2004-06-05T09:05:20
HD160691,2453161.88658,9.17,0.99,HARPS-Pre,0.1401,0.0042,,,2004-06-05T09:07:31
HD160691,2453161.88812,5.75,0.99,HARPS-Pre,0.1300,0.0045,,,2004-06-05T09:09:42
HD160691,2453161.88966,5.16,1.00,HARPS-Pre,0.1322,0.0044,,,2004-06-05T09:11:53
HD160691,2453161.89110,4.92,0.99,HARPS-Pre,0.1520,0.0033,,,2004-06-05T09:14:04
HD160691,2453161.89268,11.66,1.04,HARPS-Pre,0.1365,0.0054,,,2004-06-05T09:16:15
HD160691,2453161.89417,7.20,1.00,HARPS-Pre,0.1226,0.0046,,,2004-06-05T09:18:26
HD160691,2453161.89571,5.92,1.01,HARPS-Pre,0.1247,0.0043,,,2004-06-05T09:20:37
HD160691,2453161.89722,7.19,1.00,HARPS-Pre,0.1376,0.0049,,,2004-06-05T09:22:48
HD160691,2453161.89871,5.04,0.99,HARPS-Pre,0.1490,0.0045,,,2004-06-05T09:24:59
HD160691,2453161.90019,7.47,1.03,HARPS-Pre,0.1425,0.0041,,,2004-06-05T09:27:10
HD160691,2453161.90175,7.24,1.04,HARPS-Pre,0.1498,0.0042,,,2004-06-05T09:29:20
HD160691,2453161.90329,11.04,1.03,HARPS-Pre,0.1459,0.0051,,,2004-06-05T09:31:31
HD160691,2453161.90476,5.30,1.03,HARPS-Pre,0.1582,0.0048,,,2004-06-05T09:33:42
HD160691,2453161.90628,6.00,1.08,HARPS-Pre,0.1477,0.0055,,,2004-06-05T09:35:53
HD160691,2453161.90770,6.32,1.07,HARPS-Pre,0.1545,0.0055,,,2004-06-05T09:38:03
HD160691,2453161.90940,7.21,1.06,HARPS-Pre,0.1252,0.0055,,,2004-06-05T09:40:14
HD160691,2453161.91081,6.79,1.02,HARPS-Pre,0.1567,0.0044,,,2004-06-05T09:42:24
HD160691,2453161.91230,6.80,1.07,HARPS-Pre,0.1728,0.0046,,,2004-06-05T09:44:35
HD160691,2453161.91386,5.27,1.15,HARPS-Pre,0.1321,0.0066,,,2004-06-05T09:46:46
HD160691,2453161.91537,2.36,1.02,HARPS-Pre,0.1356,0.0047,,,2004-06-05T09:48:57
HD160691,2453161.91692,7.39,1.03,HARPS-Pre,0.1158,0.0059,,,2004-06-05T09:51:08
HD160691,2453161.91840,7.05,1.02,HARPS-Pre,0.1129,0.0057,,,2004-06-05T09:53:19
HD160691,2453161.91989,8.38,1.04,HARPS-Pre,0.1276,0.0058,,,2004-06-05T09:55:31
HD160691,2453161.92142,4.46,1.03,HARPS-Pre,0.1481,0.0049,,,2004-06-05T09:57:41
HD160691,2453161.92298,5.51,1.02,HARPS-Pre,0.1160,0.0055,,,2004-06-05T09:59:52
HD160691,2453161.92453,6.46,1.05,HARPS-Pre,0.1358,0.005,,,2004-06-05T10:02:03
HD160691,2453161.92598,5.19,1.07,HARPS-Pre,0.1135,0.0065,,,2004-06-05T10:04:14
HD160691,2453161.92776,4.87,1.14,HARPS-Pre,0.1407,0.0074,,,2004-06-05T10:06:42
HD160691,2453161.92920,3.61,1.04,HARPS-Pre,0.1196,0.0052,,,2004-06-05T10:08:52
HD160691,2453161.93068,4.43,1.05,HARPS-Pre,0.1160,0.0054,,,2004-06-05T10:11:03
HD160691,2453161.93231,7.70,1.10,HARPS-Pre,0.1280,0.0071,,,2004-06-05T10:13:14
HD160691,2453161.93371,8.06,1.15,HARPS-Pre,0.1440,0.0058,,,2004-06-05T10:15:26
HD160691,2453161.93525,6.66,1.34,HARPS-Pre,0.1223,0.0099,,,2004-06-05T10:17:37
HD160691,2453161.93690,4.16,1.33,HARPS-Pre,0.1409,0.0091,,,2004-06-05T10:19:48
HD160691,2453161.93825,7.67,1.20,HARPS-Pre,,,,,2004-06-05T10:22:00
HD160691,2453161.93982,8.91,1.28,HARPS-Pre,0.1643,0.008,,,2004-06-05T10:24:11
HD160691,2453162.51138,3.38,1.00,HARPS-Pre,0.1261,0.0055,,,2004-06-06T00:07:11
HD160691,2453162.51290,3.28,1.00,HARPS-Pre,0.1432,0.0045,,,2004-06-06T00:09:22
HD160691,2453162.51441,4.22,0.99,HARPS-Pre,0.1375,0.0042,,,2004-06-06T00:11:33
HD160691,2453162.51593,1.04,0.99,HARPS-Pre,0.1256,0.0044,,,2004-06-06T00:13:44
HD160691,2453162.51740,5.53,0.99,HARPS-Pre,0.1560,0.0041,,,2004-06-06T00:15:55
HD160691,2453162.51896,2.54,0.99,HARPS-Pre,0.1294,0.005,,,2004-06-06T00:18:06
HD160691,2453162.52049,4.94,0.99,HARPS-Pre,0.1510,0.0041,,,2004-06-06T00:20:17
HD160691,2453162.52201,4.03,0.99,HARPS-Pre,0.1379,0.0041,,,2004-06-06T00:22:28
HD160691,2453162.52350,5.91,0.98,HARPS-Pre,0.1560,0.0035,,,2004-06-06T00:24:40
HD160691,2453162.52506,6.83,0.98,HARPS-Pre,0.1273,0.0047,,,2004-06-06T00:26:51
HD160691,2453162.52654,4.26,0.98,HARPS-Pre,0.1495,0.0035,,,2004-06-06T00:29:02
HD160691,2453162.52807,4.08,0.98,HARPS-Pre,0.1482,0.0041,,,2004-06-06T00:31:13
HD160691,2453162.52957,6.50,0.98,HARPS-Pre,0.1493,0.0044,,,2004-06-06T00:33:24
HD160691,2453162.53113,6.51,0.99,HARPS-Pre,0.1369,0.0038,,,2004-06-06T00:35:35
HD160691,2453162.53260,4.20,0.98,HARPS-Pre,0.1483,0.0038,,,2004-06-06T00:37:46
HD160691,2453162.53413,3.83,0.99,HARPS-Pre,0.1402,0.0043,,,2004-06-06T00:39:57
HD160691,2453162.53566,3.65,1.00,HARPS-Pre,0.1339,0.0045,,,2004-06-06T00:42:08
HD160691,2453162.53715,6.24,0.99,HARPS-Pre,0.1407,0.0039,,,2004-06-06T00:44:19
HD160691,2453162.53867,6.20,0.99,HARPS-Pre,0.1353,0.0039,,,2004-06-06T00:46:30
HD160691,2453162.54019,2.56,0.99,HARPS-Pre,0.1276,0.0046,,,2004-06-06T00:48:41
HD160691,2453162.54171,1.11,0.99,HARPS-Pre,0.1370,0.0042,,,2004-06-06T00:50:53
HD160691,2453162.54320,3.81,0.99,HARPS-Pre,0.1415,0.0046,,,2004-06-06T00:53:03
HD160691,2453162.54474,7.18,0.99,HARPS-Pre,0.1214,0.0048,,,2004-06-06T00:55:14
HD160691,2453162.54624,1.75,1.00,HARPS-Pre,0.1257,0.0052,,,2004-06-06T00:57:25
HD160691,2453162.54778,-0.17,1.02,HARPS-Pre,0.1327,0.0053,,,2004-06-06T00:59:36
HD160691,2453162.54929,3.77,0.98,HARPS-Pre,0.1398,0.0044,,,2004-06-06T01:01:47
HD160691,2453162.55080,6.89,0.98,HARPS-Pre,0.1314,0.0046,,,2004-06-06T01:03:58
HD160691,2453162.55234,3.91,0.97,HARPS-Pre,0.1503,0.0037,,,2004-06-06T01:06:09
HD160691,2453162.55386,0.92,0.97,HARPS-Pre,0.1422,0.0036,,,2004-06-06T01:08:21
HD160691,2453162.55538,4.17,0.97,HARPS-Pre,0.1408,0.0038,,,2004-06-06T01:10:32
HD160691,2453162.55686,5.62,0.98,HARPS-Pre,0.1435,0.0042,,,2004-06-06T01:12:43
HD160691,2453162.55838,0.68,0.98,HARPS-Pre,0.1325,0.0041,,,2004-06-06T01:14:54
HD160691,2453162.55994,1.97,0.98,HARPS-Pre,0.1553,0.0038,,,2004-06-06T01:17:04
HD160691,2453162.56144,3.55,0.98,HARPS-Pre,0.1418,0.0042,,,2004-06-06T01:19:15
HD160691,2453162.56291,6.18,0.97,HARPS-Pre,0.1517,0.0042,,,2004-06-06T01:21:26
HD160691,2453162.56445,2.01,0.97,HARPS-Pre,0.1531,0.0038,,,2004-06-06T01:23:37
HD160691,2453162.56598,1.96,0.98,HARPS-Pre,0.1393,0.0038,,,2004-06-06T01:25:48
HD160691,2453162.56751,4.25,0.97,HARPS-Pre,0.1514,0.0035,,,2004-06-06T01:27:59
HD160691,2453162.56899,3.69,0.97,HARPS-Pre,0.1538,0.0036,,,2004-06-06T01:30:10
HD160691,2453162.57051,2.11,0.97,HARPS-Pre,0.1504,0.0036,,,2004-06-06T01:32:21
HD160691,2453162.57203,-0.61,0.97,HARPS-Pre,0.1381,0.0038,,,2004-06-06T01:34:32
HD160691,2453162.57355,4.55,0.97,HARPS-Pre,0.1429,0.0036,,,2004-06-06T01:36:43
HD160691,2453162.57508,5.31,0.97,HARPS-Pre,0.1350,0.0039,,,2004-06-06T01:38:54
HD160691,2453162.57658,2.36,0.98,HARPS-Pre,0.1278,0.0042,,,2004-06-06T01:41:05
HD160691,2453162.57810,2.50,0.96,HARPS-Pre,0.1441,0.0035,,,2004-06-06T01:43:16
HD160691,2453162.57961,3.37,0.96,HARPS-Pre,0.1499,0.003,,,2004-06-06T01:45:27
HD160691,2453162.58108,2.29,0.96,HARPS-Pre,0.1396,0.0031,,,2004-06-06T01:47:37
HD160691,2453162.58268,3.81,0.98,HARPS-Pre,0.1473,0.0035,,,2004-06-06T01:49:49
HD160691,2453162.58416,5.15,0.97,HARPS-Pre,0.1364,0.0037,,,2004-06-06T01:51:59
HD160691,2453162.58567,2.47,0.97,HARPS-Pre,0.1372,0.004,,,2004-06-06T01:54:10
HD160691,2453162.58721,2.71,0.98,HARPS-Pre,0.1490,0.0036,,,2004-06-06T01:56:21
HD160691,2453162.58869,3.92,0.96,HARPS-Pre,0.1370,0.0035,,,2004-06-06T01:58:32
HD160691,2453162.59018,6.52,0.97,HARPS-Pre,0.1359,0.0039,,,2004-06-06T02:00:43
HD160691,2453162.59166,4.39,1.08,HARPS-Pre,0.0974,0.0059,,,2004-06-06T02:02:54
HD160691,2453162.59335,3.95,1.03,HARPS-Pre,0.1307,0.0048,,,2004-06-06T02:05:05
HD160691,2453162.59477,4.24,1.02,HARPS-Pre,0.1406,0.0044,,,2004-06-06T02:07:16
HD160691,2453162.59634,4.16,1.03,HARPS-Pre,0.1304,0.0052,,,2004-06-06T02:09:27
HD160691,2453162.59774,5.42,1.01,HARPS-Pre,0.1364,0.0046,,,2004-06-06T02:11:38
HD160691,2453162.59935,3.91,1.01,HARPS-Pre,0.1293,0.0049,,,2004-06-06T02:13:49
HD160691,2453162.60086,3.80,0.98,HARPS-Pre,0.1326,0.004,,,2004-06-06T02:16:00
HD160691,2453162.60230,2.85,1.06,HARPS-Pre,0.1065,0.0072,,,2004-06-06T02:18:11
HD160691,2453162.60385,4.83,1.26,HARPS-Pre,0.1602,0.0063,,,2004-06-06T02:20:22
HD160691,2453162.60532,3.83,1.16,HARPS-Pre,0.1623,0.0066,,,2004-06-06T02:22:33
HD160691,2453162.60698,4.10,1.11,HARPS-Pre,0.1234,0.0067,,,2004-06-06T02:24:46
HD160691,2453162.60841,9.43,1.29,HARPS-Pre,0.1462,0.0073,,,2004-06-06T02:26:57
HD160691,2453162.60992,5.82,1.11,HARPS-Pre,0.1578,0.0053,,,2004-06-06T02:29:08
HD160691,2453162.61142,2.87,1.12,HARPS-Pre,0.1340,0.0065,,,2004-06-06T02:31:20
HD160691,2453162.61297,4.07,1.16,HARPS-Pre,0.1335,0.006,,,2004-06-06T02:33:31
HD160691,2453162.61451,4.63,1.15,HARPS-Pre,0.1431,0.0057,,,2004-06-06T02:35:41
HD160691,2453162.61605,5.00,1.04,HARPS-Pre,0.1227,0.0057,,,2004-06-06T02:37:52
HD160691,2453162.61758,4.48,1.00,HARPS-Pre,0.1305,0.0047,,,2004-06-06T02:40:03
HD160691,2453162.61905,4.58,0.95,HARPS-Pre,0.1436,0.0034,,,2004-06-06T02:42:14
HD160691,2453162.62054,3.90,0.97,HARPS-Pre,0.1511,0.0031,,,2004-06-06T02:44:25
HD160691,2453162.62207,3.95,0.96,HARPS-Pre,0.1426,0.0039,,,2004-06-06T02:46:36
HD160691,2453162.62364,3.81,0.96,HARPS-Pre,0.1460,0.0034,,,2004-06-06T02:48:47
HD160691,2453162.62510,3.06,0.96,HARPS-Pre,0.1525,0.0032,,,2004-06-06T02:50:58
HD160691,2453162.62663,3.42,0.95,HARPS-Pre,0.1417,0.0033,,,2004-06-06T02:53:09
HD160691,2453162.62817,1.49,0.95,HARPS-Pre,0.1470,0.0031,,,2004-06-06T02:55:20
HD160691,2453162.62965,3.39,0.95,HARPS-Pre,0.1470,0.0031,,,2004-06-06T02:57:31
HD160691,2453162.63120,2.83,0.95,HARPS-Pre,0.1446,0.0033,,,2004-06-06T02:59:42
HD160691,2453162.63268,3.08,0.95,HARPS-Pre,0.1404,0.0031,,,2004-06-06T03:01:53
HD160691,2453162.63423,3.36,0.95,HARPS-Pre,0.1441,0.0031,,,2004-06-06T03:04:04
HD160691,2453162.63571,3.67,0.96,HARPS-Pre,0.1395,0.0036,,,2004-06-06T03:06:15
HD160691,2453162.63722,4.12,0.95,HARPS-Pre,0.1487,0.0028,,,2004-06-06T03:08:26
HD160691,2453162.63876,2.77,0.95,HARPS-Pre,0.1487,0.0035,,,2004-06-06T03:10:37
HD160691,2453162.64027,3.70,0.94,HARPS-Pre,0.1405,0.0031,,,2004-06-06T03:12:47
HD160691,2453162.64175,1.73,0.95,HARPS-Pre,0.1458,0.0031,,,2004-06-06T03:14:58
HD160691,2453162.64331,2.75,0.95,HARPS-Pre,0.1435,0.0036,,,2004-06-06T03:17:09
HD160691,2453162.64481,4.67,0.94,HARPS-Pre,0.1431,0.0031,,,2004-06-06T03:19:20
HD160691,2453162.64632,3.95,0.96,HARPS-Pre,0.1524,0.0031,,,2004-06-06T03:21:31
HD160691,2453162.64788,0.63,0.95,HARPS-Pre,0.1400,0.0031,,,2004-06-06T03:23:43
HD160691,2453162.64937,2.20,0.95,HARPS-Pre,0.1491,0.0031,,,2004-06-06T03:25:54
HD160691,2453162.65087,5.33,0.95,HARPS-Pre,0.1622,0.0031,,,2004-06-06T03:28:05
HD160691,2453162.65242,4.30,0.95,HARPS-Pre,0.1478,0.0034,,,2004-06-06T03:30:16
HD160691,2453162.65393,1.43,0.95,HARPS-Pre,0.1394,0.0031,,,2004-06-06T03:32:28
HD160691,2453162.65546,3.66,0.94,HARPS-Pre,0.1422,0.0029,,,2004-06-06T03:34:39
HD160691,2453162.65698,4.41,0.94,HARPS-Pre,0.1453,0.0031,,,2004-06-06T03:36:50
HD160691,2453162.65850,4.94,0.94,HARPS-Pre,0.1490,0.0031,,,2004-06-06T03:39:01
HD160691,2453162.66002,5.45,0.94,HARPS-Pre,0.1488,0.003,,,2004-06-06T03:41:12
HD160691,2453162.66152,3.25,0.94,HARPS-Pre,0.1466,0.0029,,,2004-06-06T03:43:23
HD160691,2453162.66304,3.32,0.94,HARPS-Pre,0.1511,0.0029,,,2004-06-06T03:45:34
HD160691,2453162.66453,4.12,0.95,HARPS-Pre,0.1490,0.0032,,,2004-06-06T03:47:45
HD160691,2453162.66607,5.84,0.94,HARPS-Pre,0.1452,0.0026,,,2004-06-06T03:49:56
HD160691,2453162.66757,3.60,0.94,HARPS-Pre,0.1449,0.0032,,,2004-06-06T03:52:07
HD160691,2453162.66910,0.53,0.94,HARPS-Pre,0.1499,0.0026,,,2004-06-06T03:54:18
HD160691,2453162.67059,4.06,0.94,HARPS-Pre,0.1486,0.0031,,,2004-06-06T03:56:28
HD160691,2453162.67212,2.03,0.94,HARPS-Pre,0.1475,0.0031,,,2004-06-06T03:58:39
HD160691,2453162.67364,1.03,0.94,HARPS-Pre,0.1569,0.0028,,,2004-06-06T04:00:50
HD160691,2453162.67516,4.42,0.94,HARPS-Pre,0.1441,0.0027,,,2004-06-06T04:03:01
HD160691,2453162.67669,5.43,0.94,HARPS-Pre,0.1478,0.0031,,,2004-06-06T04:05:12
HD160691,2453162.67816,2.04,0.94,HARPS-Pre,0.1455,0.0029,,,2004-06-06T04:07:23
HD160691,2453162.67971,3.19,0.94,HARPS-Pre,0.1516,0.003,,,2004-06-06T04:09:34
HD160691,2453162.68121,5.41,0.95,HARPS-Pre,0.1440,0.0032,,,2004-06-06T04:11:45
HD160691,2453162.68274,5.57,0.94,HARPS-Pre,0.1411,0.0029,,,2004-06-06T04:13:56
HD160691,2453162.68419,4.55,0.94,HARPS-Pre,0.1490,0.0029,,,2004-06-06T04:16:06
HD160691,2453162.68571,3.77,0.93,HARPS-Pre,0.1540,0.0024,,,2004-06-06T04:18:17
HD160691,2453162.68727,5.69,0.94,HARPS-Pre,0.1464,0.0027,,,2004-06-06T04:20:28
HD160691,2453162.68879,6.46,0.94,HARPS-Pre,0.1409,0.0029,,,2004-06-06T04:22:39
HD160691,2453162.69030,3.43,0.94,HARPS-Pre,0.1454,0.003,,,2004-06-06T04:24:50
HD160691,2453162.69182,4.36,0.94,HARPS-Pre,0.1503,0.003,,,2004-06-06T04:27:01
HD160691,2453162.69332,3.24,0.93,HARPS-Pre,0.1488,0.0026,,,2004-06-06T04:29:12
HD160691,2453162.69488,0.52,0.94,HARPS-Pre,0.1508,0.0027,,,2004-06-06T04:31:23
HD160691,2453162.69632,4.42,0.94,HARPS-Pre,0.1449,0.0028,,,2004-06-06T04:33:34
HD160691,2453162.69790,6.98,0.95,HARPS-Pre,0.1467,0.0033,,,2004-06-06T04:35:45
HD160691,2453162.69937,2.93,0.95,HARPS-Pre,0.1495,0.0032,,,2004-06-06T04:37:56
HD160691,2453162.70091,4.14,0.94,HARPS-Pre,0.1476,0.003,,,2004-06-06T04:40:07
HD160691,2453162.70239,4.12,0.94,HARPS-Pre,0.1514,0.0026,,,2004-06-06T04:42:18
HD160691,2453162.70396,3.63,0.94,HARPS-Pre,0.1475,0.0028,,,2004-06-06T04:44:29
HD160691,2453162.70545,4.96,0.93,HARPS-Pre,0.1563,0.0027,,,2004-06-06T04:46:40
HD160691,2453162.70700,2.06,0.94,HARPS-Pre,0.1409,0.0031,,,2004-06-06T04:48:51
HD160691,2453162.70850,6.60,0.93,HARPS-Pre,0.1422,0.0028,,,2004-06-06T04:51:02
HD160691,2453162.71000,5.34,0.93,HARPS-Pre,0.1495,0.0025,,,2004-06-06T04:53:13
HD160691,2453162.71154,3.72,0.94,HARPS-Pre,0.1466,0.0028,,,2004-06-06T04:55:24
HD160691,2453162.71301,3.97,0.93,HARPS-Pre,0.1533,0.0026,,,2004-06-06T04:57:35
HD160691,2453162.71456,2.66,0.94,HARPS-Pre,0.1400,0.0033,,,2004-06-06T04:59:47
HD160691,2453162.71610,5.93,0.94,HARPS-Pre,0.1515,0.003,,,2004-06-06T05:01:58
HD160691,2453162.71760,4.97,0.94,HARPS-Pre,0.1452,0.003,,,2004-06-06T05:04:09
HD160691,2453162.71913,3.47,0.94,HARPS-Pre,0.1535,0.0029,,,2004-06-06T05:06:20
HD160691,2453162.72063,5.40,0.93,HARPS-Pre,0.1492,0.0026,,,2004-06-06T05:08:31
HD160691,2453162.72216,7.12,0.94,HARPS-Pre,0.1411,0.0029,,,2004-06-06T05:10:42
HD160691,2453162.72365,6.57,0.93,HARPS-Pre,0.1538,0.0028,,,2004-06-06T05:12:53
HD160691,2453162.72512,1.75,0.94,HARPS-Pre,0.1524,0.003,,,2004-06-06T05:15:04
HD160691,2453162.72671,4.79,0.94,HARPS-Pre,0.1451,0.0033,,,2004-06-06T05:17:15
HD160691,2453162.72821,6.74,0.94,HARPS-Pre,0.1484,0.0031,,,2004-06-06T05:19:27
HD160691,2453162.72979,4.31,0.95,HARPS-Pre,0.1518,0.0032,,,2004-06-06T05:21:38
HD160691,2453162.73126,6.20,0.93,HARPS-Pre,0.1391,0.0029,,,2004-06-06T05:23:49
HD160691,2453162.73279,5.30,0.93,HARPS-Pre,0.1427,0.0028,,,2004-06-06T05:26:01
HD160691,2453162.73430,7.86,0.94,HARPS-Pre,0.1538,0.0026,,,2004-06-06T05:28:13
HD160691,2453162.73581,3.90,0.94,HARPS-Pre,0.1450,0.0027,,,2004-06-06T05:30:24
HD160691,2453162.73739,3.99,0.94,HARPS-Pre,0.1477,0.003,,,2004-06-06T05:32:35
HD160691,2453162.73884,8.25,0.94,HARPS-Pre,0.1493,0.0027,,,2004-06-06T05:34:46
HD160691,2453162.74037,5.77,0.94,HARPS-Pre,0.1569,0.0026,,,2004-06-06T05:36:57
HD160691,2453162.74192,4.79,0.94,HARPS-Pre,0.1542,0.0031,,,2004-06-06T05:39:08
HD160691,2453162.74341,7.08,0.94,HARPS-Pre,0.1457,0.0028,,,2004-06-06T05:41:19
HD160691,2453162.74491,2.38,0.95,HARPS-Pre,0.1555,0.0029,,,2004-06-06T05:43:30
HD160691,2453162.74647,5.55,0.95,HARPS-Pre,0.1476,0.0031,,,2004-06-06T05:45:40
HD160691,2453162.74793,3.76,0.95,HARPS-Pre,0.1416,0.0031,,,2004-06-06T05:47:51
HD160691,2453162.74947,6.62,0.95,HARPS-Pre,0.1481,0.0033,,,2004-06-06T05:50:02
HD160691,2453162.75097,5.00,0.94,HARPS-Pre,0.1570,0.0027,,,2004-06-06T05:52:13
HD160691,2453162.75250,5.58,0.97,HARPS-Pre,0.1367,0.0043,,,2004-06-06T05:54:24
HD160691,2453162.75405,7.70,0.96,HARPS-Pre,0.1477,0.0035,,,2004-06-06T05:56:35
HD160691,2453162.75553,3.24,0.95,HARPS-Pre,0.1538,0.0033,,,2004-06-06T05:58:46
HD160691,2453162.75705,3.30,0.96,HARPS-Pre,0.1500,0.0036,,,2004-06-06T06:00:58
HD160691,2453162.75860,3.30,0.94,HARPS-Pre,0.1463,0.0029,,,2004-06-06T06:03:10
HD160691,2453162.76010,3.72,0.95,HARPS-Pre,0.1403,0.0032,,,2004-06-06T06:05:21
